zone,state,city,name,type,time_needed_to_visit_in_hrs,google_review_rating,entrance_fee_in_inr,airport_with_50km_radius,weekly_off,significance,dslr_allowed,number_of_google_review_in_lakhs,best_time_to_visit,time_needed_hrs,duration_bucket,entrance_fee,budget_bucket,sentiment_score,review_count,sample_reviews
Northern,Delhi,Delhi,India Gate,War Memorial,0.5,4.6,0,Yes,,Historical,Yes,2.6,Evening,0.5,Short,0,Free,0.9698,3,loved melia paradisus husband just returned 2 week vacation paradisus trip punta cana time paradisus... || good clean excellent location hotel alomst exactly want central major city hotel.firstly hotel good ...
Northern,Delhi,Delhi,Humayun's Tomb,Tomb,2.0,4.5,30,Yes,,Historical,Yes,0.4,Afternoon,2.0,Short,30,Low,0.9185,10,"romantic weekend just wanted hotel tripadvisor n't disappointed, rooms clean laid need, great locati... || surprise location location location, hotel fantastic area paris close open air market minute walk, m..."
Northern,Delhi,Delhi,Akshardham Temple,Temple,5.0,4.6,60,Yes,,Religious,No,0.4,Afternoon,5.0,Short,60,Low,0.7979,7,"substandard radisson radisson obviously undergoing makeover noticeable effort bring hotel quality le... || wonderful resort, husband celebrated birthday secrets week october 1. tell upfront worked luxury hot..."
Northern,Delhi,Delhi,Waste to Wonder Park,Theme Park,2.0,4.1,50,Yes,Monday,Environmental,Yes,0.27,Evening,2.0,Short,50,Low,0.9432,9,"really really nice place stay chose stay argonaut primarily positive reviews site, certainly right t... || love melia, kbs rye ny returned trip planning melia december 5th time say time getss better quality ..."
Northern,Delhi,Delhi,Jantar Mantar,Observatory,2.0,4.2,15,Yes,,Scientific,Yes,0.31,Morning,2.0,Short,15,Low,0.5403,3,"hurricane katrina husband sat 8/27/05 8/28/05, hotel staff including hotel manager kind understandin... || want stay beirut, recently stayed vincci condal mar wedding group, say upgraded beautiful room not c..."
Northern,Delhi,Delhi,Chandni Chowk,Market,3.0,4.2,0,Yes,Sunday,Market,Yes,0.25,Afternoon,3.0,Short,0,Free,0.7158,8,"amsterdam experience nadia hotel 11/20/08 12/2/08 sister world vacation amsterdam nadia hotel far be... || great price want say great seattle far people community recommend place visit, hotel nice clean real..."
Northern,Delhi,Delhi,Lotus Temple,Temple,1.0,4.5,0,Yes,Monday,Religious,Yes,0.59,Evening,1.0,Short,0,Free,0.9338,6,"globus tour stayed globus tour, tram/ bus/train/ station 5 minutes away, helpful staff, room nice cl... || farm, seen hotel photos walls lined tapestries expected naff over-the-top louis quinze-type decor ho..."
Northern,Delhi,Delhi,Red Fort,Fort,2.0,4.5,35,Yes,,Historical,Yes,1.5,Afternoon,2.0,Short,35,Low,0.7409,9,"excellent value, husband spent night affinia dumont nyc feb 18th, scouring internet good deals hotel... || great stay wonderful stay majestic food good great variety large fresh fruit vegtables, rooms great,..."
Northern,Delhi,Delhi,Agrasen ki Baoli,Stepwell,1.0,4.2,0,Yes,,Historical,Yes,0.41,Afternoon,1.0,Short,0,Free,0.9788,8,"excellent weekend break stayed hotel weekend break, personally thought hotel sited excellent locatio... || suepups went 3 kids november 2006. bambu 4 riu hotels fabulous beach, punta cana, arrival airport aw..."
Northern,Delhi,Delhi,Sunder Nursery,Park,2.0,4.6,0,Yes,,Botanical,Yes,0.16,Afternoon,2.0,Short,0,Free,0.9458,7,"excellent resort stayed melia caribe feb 5-12 2005. nice resort hotel, rooms spacious clean, resort ... || great hotel hotel located centrally pioneer square pike place market free ride bus zone seattle, arr..."
Northern,Delhi,Delhi,Garden of Five Senses,Park,2.0,4.1,35,Yes,,Botanical,Yes,0.23,Morning,2.0,Short,35,Low,0.6145,6,"thought luck reached hotel check straight away 9am opposed 2pm really really needed sleep, expected ... || neat hotel beaten path finally got chance stay hotel, friends sydney area talk, lot history.i liked ..."
Northern,Delhi,Delhi,Lodhi Garden,Park,1.0,4.5,0,Yes,,Botanical,Yes,0.48,All,1.0,Short,0,Free,0.5224,5,"airport hotel fills convenient location short shuttle trip airport.i spend entire afternoon evening ... || horrible experience terrible service experience worst, soon got hotel took wrong place, supposed sta..."
Northern,Delhi,Delhi,National Gallery of Modern Art,Museum,3.0,4.5,20,Yes,Monday,Artistic,Yes,0.08,All,3.0,Short,20,Low,0.9286,4,"disorganized disappointing wife just returned puerto rico, company work flew paradisus corporate esc... || nice hotel husband stayed crown plaza spring break, arrival told given room beds booked king bed, ma..."
Northern,Delhi,Delhi,National Zoological Park ,Zoo,3.0,4.1,80,Yes,Friday,Environmental,Yes,0.41,All,3.0,Short,80,Low,0.7669,10,"fanatastic location hotel montblanc offered excellent value money 119 euros night plus 7 tax, hotel ... || affinia 50 lived trip advisor reputation, read good reviews pleasantly surprised, large rooms includ..."
Northern,Delhi,Delhi,Qutub Minar,Monument,1.0,4.5,35,Yes,,Historical,Yes,1.37,Afternoon,1.0,Short,35,Low,0.9735,4,"perfect location berlin long weekend just returned long weekend berlin, sofitel great choice fabulou... || 1925 elegance opulence eliot hotel crown jewel recent stay boston build 1925 back-in-time feel maint..."
Northern,Delhi,Delhi,National Science Centre,Science,5.0,4.4,70,Yes,,Scientific,Yes,0.23,All,5.0,Short,70,Low,0.9415,9,"people stop complainig, holiday fab marion john irelandmy self husband just returned breezers hotel ... || excellent value centrally located hotel stayed agon opera husband son triple room fifth floor hotel,..."
Western,Maharastra,Mumbai,Marine Drive,Promenade,2.0,4.5,0,Yes,,Scenic,Yes,1.5,Evening,2.0,Short,0,Free,0.948,5,"wonderful, stayed hotel europa nights beginning july thought wonderful, definitely great location no... || fantastic stop honeymoon stayed stop honeymoon, having italy n't quite sure expect moment checked mo..."
Western,Maharastra,Mumbai,Gateway of India,Monument,1.0,4.6,0,Yes,,Historical,Yes,3.6,All,1.0,Short,0,Free,0.7362,5,"perfect vaction recently come punta cana stayed majestic recommend, thought service excellent food g... || beautiful hotel hotel wonderful, beautiful rooms excellent service felt staying italian villa, locat..."
